epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2734,1.75524,4.49878,0.93912,0.00025,0.00134,0.00012,5e-05,1.3583,4.28427,0.86551,6.666e-05,6.666e-05,6.666e-05
2,26.6918,1.42725,4.06881,0.90577,0.0015,0.0094,0.0039,0.00092,1.35489,4.24585,0.86321,0.000143,0.000143,0.000143
3,39.1556,1.60531,3.62152,0.90115,0.00209,0.01342,0.01012,0.00393,1.42927,4.18341,0.86707,0.0002178,0.0002178,0.0002178
4,50.8681,1.47383,2.87055,0.87047,0.00211,0.01342,0.0105,0.00288,1.43445,4.11437,0.86881,0.000291061,0.000291061,0.000291061
5,62.5341,1.45909,2.28536,0.86183,0.01348,0.11846,0.04713,0.01954,1.59326,3.75915,0.87919,0.000362781,0.000362781,0.000362781
6,74.5852,1.58089,1.91794,0.87836,0.02328,0.23867,0.11264,0.04142,1.67337,3.3359,0.87956,0.000432962,0.000432962,0.000432962
7,89.3497,1.66219,1.72627,0.87265,0.02328,0.23867,0.11264,0.04142,1.67337,3.3359,0.87956,0.000501603,0.000501603,0.000501603
8,102.303,1.56806,1.79145,0.86317,0.95307,0.06568,0.16167,0.07882,1.56364,2.63662,0.87164,0.000568704,0.000568704,0.000568704
9,113.746,1.49177,1.83782,0.89081,0.79438,0.14669,0.17068,0.08964,1.52672,2.00739,0.87568,0.000634265,0.000634265,0.000634265
10,125.559,1.51264,1.87197,0.88736,0.79438,0.14669,0.17068,0.08964,1.52672,2.00739,0.87568,0.000698287,0.000698287,0.000698287
